"Prebivalstvo - izbrani kazalniki, obèine in naselja, Slovenija, letno"

"OBÈINA/NASELJE"	"2024 Prebivalstvo - SKUPAJ"
"029011 Ivanjševci ob Šèavnici"	76
"029012 Ivanjševski Vrh"	163
"029014 Kunova"	152
"029015 Lastomerci"	114
"029017 Lokavci"	177
"029018 Lomanoše"	239
"029021 Mele"	174
"029023 Negova"	325
"029024 Norièki Vrh"	173
"029026 Oèeslavci"	183
"029027 Orehovci"	73
"029028 Orehovski Vrh"	116
"029030 Plitvièki Vrh"	161
"029032 Podgrad"	146
"029034 Police"	375
"029035 Ptujska Cesta"	183
"029036 Radvenci"	147
"029037 Rodmošci"	48
"029039 Spodnja Šèavnica"	439
"029041 Spodnji Ivanjci"	135
"029042 Stavešinci"	74
"029043 Stavešinski Vrh"	152
"029047 Zagajski Vrh"	132
"029048 Zbigovci"	278
"030 GORNJI GRAD"	2595
"030001 Boèna"	613
"030002 Dol"	31
"030003 Florjan pri Gornjem Gradu"	159
"030004 Gornji Grad"	1087
"030005 Lenart pri Gornjem Gradu"	112
"030008 Nova Štifta"	593
"031 GORNJI PETROVCI"	2002
"031001 Adrijanci"	126
"031002 Boreèa"	87
"031003 Gornji Petrovci"	413
"031004 Košarovci"	60
"031005 Križevci"	356
"031006 Kukeè"	60
"031007 Lucova"	110
"031008 Martinje"	113
"031009 Neradnovci"	131
"031010 Panovci"	31
"031011 Peskovci"	71
"031012 Stanjevci"	186
"031013 Šulinci"	160
"031014 Ženavlje"	98
"032 GROSUPLJE"	21870
"032001 Bièje"	75
"032002 Bleèji Vrh"	72
"032003 Brezje pri Grosupljem"	1064
"032004 Brvace"	152
"032005 Cerovo"	57
"032006 Cikava"	306
"032007 Èušperk"	245
"032008 Dobje"	14
"032009 Dole pri Polici"	203
"032010 Dolenja vas pri Polici"	111
"032011 Gabrje pri Ilovi Gori"	44
"032012 Gajnièe"	64
"032013 Gatina"	149
"032014 Gorenja vas pri Polici"	68
"032015 Gornji Rogatec"	68
"032016 Gradišèe"	68
"032017 Grosuplje"	7804
"032018 Hrastje pri Grosupljem"	124
"032019 Huda Polica"	38
"032020 Kožljevec"	28
"032021 Lobèek"	170
"032022 Luèe"	309
"032023 Mala Ilova Gora"	100
"032024 Mala Loka pri Višnji Gori"	35
"032025 Mala Raèna"	179
"032026 Mala Stara vas"	142
"032027 Mala vas pri Grosupljem"	327
"032028 Male Lipljene"	114
"032029 Mali Konec"	37
"032030 Mali Vrh pri Šmarju"	409
"032031 Malo Mlaèevo"	248
"032032 Medvedica"	73
"032033 Paradišèe"	81
"032034 Pece"	102
"032035 Peè"	161
"032036 Plešivica pri Žalni"	145
"032037 Podgorica pri Podtaboru"	47
"032038 Podgorica pri Šmarju"	71
"032039 Polica"	900
"032040 Ponova vas"	635
"032041 Predole"	69
"032042 Rožnik"	44
"032043 Sela pri Šmarju"	192
"032044 Spodnja Slivnica"	600
"032045 Spodnje Blato"	208
"032046 Spodnje Duplice"	45
"032047 Škocjan"	85
"032048 Šmarje - Sap"	1635
"032049 Št. Jurij"	412
"032050 Tlake"	279
"032051 Trošèine"	46
"032052 Udje"	68
"032053 Velika Ilova Gora"	105
"032054 Velika Loka"	281
"032055 Velika Raèna"	258
"032056 Velika Stara vas"	190
"032057 Velike Lipljene"	176
"032058 Veliki Vrh pri Šmarju"	442
"032059 Veliko Mlaèevo"	625
"032060 Vino"	155
"032061 Vrbièje"	87
"032062 Zagradec pri Grosupljem"	232
"032063 Zgornja Slivnica"	117
"032064 Zgornje Duplice"	52
"032065 Žalna"	343
"032066 Železnica"	40
"032067 Praproèe pri Grosupljem"	45
"033 ŠALOVCI"	1334
"033001 Budinci"	102
"033002 Èepinci"	223
"033003 Dolenci"	168
"033004 Domanjševci"	247
"033007 Markovci"	224
"033008 Šalovci"	370
"034 HRASTNIK"	8939
"034001 Boben"	154
"034002 Brdce"	311
"034003 Brnica"	222
"034004 Èeèe - del"	317
"034005 Dol pri Hrastniku"	1393
"034006 Gore"	163
"034007 Hrastnik"	4794
"034008 Kal"	46
"034009 Kovk"	102
"034010 Krištandol"	26
"034011 Krnice"	129
"034012 Marno"	212
"034013 Plesko"	34
"034014 Podkraj"	413
"034015 Prapretno pri Hrastniku - del"	186
"034016 Studence"	77
"034017 Šavna Peè"	83
"034018 Turje"	262
"034019 Unièno"	15
"035 HRPELJE - KOZINA"	5181
"035001 Artviže"	52
"035002 Baè pri Materiji"	144
"035003 Beka"	27
"035004 Brezovica"	93
"035005 Brezovo Brdo"	22
"035006 Golac"	78
"035007 Gradišèe pri Materiji"	126
"035008 Gradišica"	28
"035009 Hotièna"	66
"035010 Hrpelje"	1097
"035011 Javorje"	133
"035012 Klanec pri Kozini"	182
"035013 Kovèice"	51
"035014 Kozina"	868
"035015 Krvavi Potok"	94
"035016 Markovšèina"	109
"035017 Materija"	54
"035018 Mihele"	25
"035019 Mrše"	34
"035020 Nasirec"	65
"035021 Obrov"	203
"035022 Ocizla"	149
"035023 Odolina"	0
"035024 Orehek pri Materiji"	19
"035025 Petrinje"	58
"035026 Poljane pri Podgradu"	7
"035027 Povžane"	107
"035028 Prešnica"	231
"035029 Ritomeèe"	48
"035030 Rodik"	351
"035031 Rožice"	73
"035032 Skadanšèina"	44
"035033 Slivje"	112
"035034 Slope"	76
"035035 Tatre"	47
"035036 Tublje pri Hrpeljah"	186
"035037 Velike Loèe"	37
"035038 Vrhpolje"	76
"035039 Ostrovica"	9
"036 IDRIJA"	11706
"036001 Èekovnik"	125
"036002 Èrni Vrh"	720
"036003 Dole"	138
"036004 Godoviè"	709
"036005 Gore"	122
"036006 Gorenja Kanomlja"	142
"036007 Gorenji Vrsnik"	124
"036008 Govejk"	85
"036009 Idrija"	5793
"036010 Idrijska Bela"	68
"036011 Idrijske Krnice"	138
"036012 Idrijski Log"	86
"036013 Idršek"	30
"036014 Javornik"	0
"036015 Jelièni Vrh"	121
"036016 Kanji Dol"	4
"036017 Korita"	20
"036018 Ledine"	130
"036019 Ledinske Krnice"	71
"036020 Lome"	120
"036021 Masore"	60
"036022 Mrzli Log"	22
"036023 Mrzli Vrh"	48
"036024 Peènik"	31
"036025 Potok"	28
"036026 Predgriže"	150
"036027 Spodnja Idrija"	1394
"036028 Spodnja Kanomlja"	249
"036029 Spodnji Vrsnik"	42
"036030 Srednja Kanomlja"	142
"036031 Strmec"	22
"036032 Vojsko"	244
"036033 Zadlog"	284
"036034 Zavratec"	119
"036035 Žirovnica"	24
"036036 Rejcov Griè"	11
"036037 Razpotje"	65
"036038 Ledinsko Razpotje"	25
"037 IG"	7793
"037001 Brest"	349
"037002 Dobravica"	76
"037003 Golo"	564
"037004 Gornji Ig"	33
"037005 Ig"	2424
"037006 Iška"	264
"037007 Iška Loka"	289
"037008 Iška vas"	451
"037009 Kot"	141
"037010 Kremenica"	76
"037011 Matena"	266
"037012 Rogatec nad Želimljami"	34
"037013 Sarsko"	93
"037014 Selnik"	15
"037015 Staje"	147
"037016 Strahomer"	154
"037017 Škrilje"	531
"037018 Tomišelj"	473
"037019 Visoko"	305
"037020 Vrbljene"	258
"037021 Zapotok"	398
"037022 Draga"	132
"037023 Podgozd"	128
"037024 Podkraj"	157
"037025 Suša"	35
"038 ILIRSKA BISTRICA"	13313
"038001 Baè"	434
"038002 Brce"	25
"038003 Èelje"	49
"038004 Dobropolje"	71
"038005 Dolenje pri Jelšanah"	171
"038006 Dolnja Bitnja"	92
"038007 Dolnji Zemon"	489
"038008 Fabci"	13
"038009 Gabrk"	33
"038010 Gornja Bitnja"	46
"038011 Gornji Zemon"	104
"038012 Harije"	263
"038013 Hrušica"	297
"038014 Huje"	86
"038015 Ilirska Bistrica"	4352
"038016 Jablanica"	137
"038017 Janeževo Brdo"	24
"038018 Jasen"	274
"038019 Jelšane"	315
"038020 Kilovèe"	41
"038021 Knežak"	468
"038022 Koritnice"	130
"038023 Koseze"	343
"038024 Kuteževo"	244
"038025 Mala Bukovica"	153
"038026 Male Loèe"	33
"038027 Mereèe"	51
"038028 Nova vas pri Jelšanah"	10
"038029 Novokraèine"	184
"038030 Ostrožno Brdo"	83
"038031 Pavlica"	8
"038032 Podbeže"	82
"038033 Podgrad"	616
"038034 Podgraje"	240
"038035 Podstenje"	69
"038036 Podstenjšek"	14
"038037 Podtabor"	35
"038038 Pregarje"	200
"038039 Prelože"	57
"038040 Prem"	144
"038041 Raèice"	151
"038042 Rateèevo Brdo"	35
"038043 Reèica"	85
"038044 Rjavèe"	39
"038045 Sabonje"	63
"038046 Smrje"	108
"038047 Snežnik"	18
"038048 Soze"	41
"038049 Starod"	45
"038050 Studena Gora"	21
"038051 Sušak"	82
"038052 Šembije"	232
"038053 Tominje"	107
"038054 Topolc"	315
"038055 Trpèane"	128
"038056 Velika Bukovica"	202
"038057 Veliko Brdo"	86
"038058 Vrbica"	153
"038059 Vrbovo"	299
"038060 Zabièe"	292
"038061 Zajelšje"	60
"038062 Zareèica"	112
"038063 Zareèje"	143
"038064 Zalèi"	16
"039 IVANÈNA GORICA"	18114
"039001 Ambrus"	237
"039002 Artiža vas"	57
"039003 Bakrc"	15
"039004 Boga vas"	29
"039005 Bojanji Vrh"	104
"039006 Bratnice"	22
"039007 Breg pri Dobu"	15
"039008 Breg pri Temenici"	60
"039009 Breg pri Zagradcu"	40
"039010 Brezovi Dol"	162
"039011 Bukovica"	88
"039012 Èagošèe"	162
"039013 Èešnjice pri Zagradcu"	93
"039014 Debeèe"	42
"039015 Deèja vas pri Zagradcu"	70
"039016 Dedni Dol"	166
"039017 Dob pri Šentvidu"	218
"039018 Dobrava pri Stièni"	88
"039019 Dolenja vas pri Temenici"	19
"039020 Fužina"	126
"039021 Gabrje pri Stièni"	185
"039022 Gabrovèec"	223
"039023 Gabrovka pri Zagradcu"	127
"039024 Glogovica"	161
"039025 Gorenja vas"	119
"039026 Gorenje Brezovo"	50
"039027 Gradièek"	32
"039028 Grintovec"	102
"039029 Griže"	14
"039030 Grm"	42
"039031 Hrastov Dol"	102
"039032 Ivanèna Gorica"	2335
"039033 Kal"	105
"039034 Kamni Vrh pri Ambrusu"	51
"039035 Kamno Brdo"	22
"039036 Kitni Vrh"	118
"039037 Kriška vas"	438
"039038 Krka"	259
"039039 Krška vas"	157
"039040 Kuželjevec"	41
"039041 Laze nad Krko"	50
"039042 Leskovec"	105
"039043 Lešèevje"	51
"039044 Luèarjev Kal"	86
"039045 Mala Dobrava"	31
"039046 Mala Gorièica"	16
"039047 Male Èešnjice"	122
"039048 Male Dole pri Temenici"	34
"039049 Male Kompolje"	20
"039050 Male Lese"	61
"039051 Male Pece"	14
"039052 Male Rebrce"	36
"039053 Male Vrhe"	24
"039054 Mali Kal"	10
"039055 Mali Korinj"	61
"039056 Malo Èrnelo"	50
"039057 Malo Globoko"	57
"039058 Malo Hudo"	209
"039059 Marinèa vas"	136
"039060 Mekinje nad Stièno"	222
"039061 Metnaj"	118
"039062 Mevce"	40
"039063 Mlešèevo"	218
"039064 Mrzlo Polje"	47
"039065 Muljava"	409
"039066 Nova vas"	74
"039067 Obolno"	9
"039068 Oslica"	86
"039069 Osredek nad Stièno"	12
"039070 Pešèenik"	85
"039071 Petrušnja vas"	236
"039072 Planina"	2
"039073 Podboršt"	127
"039074 Podbukovje"	238
"039075 Podsmreka pri Višnji Gori"	33
"039076 Pokojnica"	54
"039077 Poljane pri Stièni"	30
"039078 Polje pri Višnji Gori"	15
"039079 Potok pri Muljavi"	57
"039080 Praproèe pri Temenici"	44
"039081 Primèa vas"	82
"039082 Pristava nad Stièno"	21
"039083 Pristava pri Višnji Gori"	44
"039084 Pristavlja vas"	80
"039085 Pungert"	31
"039086 Pusti Javor"	29
"039087 Radanja vas"	62
"039088 Radohova vas"	224
"039089 Ravni Dol"	32
"039090 Rdeèi Kal"	51
"039091 Sad"	51
"039092 Sela pri Dobu"	31
"039093 Sela pri Sobraèah"	72
"039094 Sela pri Višnji Gori"	49
"039095 Selo pri Radohovi vasi"	31
"039096 Sobraèe"	67
"039097 Spodnja Draga"	162
"039098 Spodnje Brezovo"	158
"039099 Stari trg"	119
"039100 Stièna"	1081
"039101 Stranska vas ob Višnjici"	70
"039102 Sušica"	109
"039103 Šentjurje"	70
"039104 Šentpavel na Dolenjskem"	160
"039105 Šentvid pri Stièni"	1178
"039106 Škoflje"	48
"039107 Škrjanèe"	54
"039108 Temenica"	195
"039109 Tolèane"	49
"039110 Trebež"	8
"039111 Trebnja Gorica"	68
"039112 Trnovica"	24
"039113 Valièna vas"	84
"039114 Velika Dobrava"	143
"039115 Velike Èešnjice"	260
"039116 Velike Dole pri Temenici"	39
"039117 Velike Kompolje"	46
"039118 Velike Lese"	145
"039119 Velike Pece"	96
"039120 Velike Rebrce"	33
"039121 Velike Vrhe"	39
"039122 Veliki Kal"	45
"039123 Veliki Korinj"	55
"039124 Veliko Èrnelo"	87
"039125 Veliko Globoko"	86
"039126 Videm pri Temenici"	13
"039127 Vir pri Stièni"	567
"039128 Višnja Gora"	1192
"039129 Višnje"	86
"039130 Vrh pri Sobraèah"	24
"039131 Vrh pri Višnji Gori"	166
"039132 Vrhpolje pri Šentvidu"	64
"039133 Zaboršt pri Šentvidu"	81
"039134 Zagradec"	123
"039135 Zavrtaèe"	26
"039136 Zgornja Draga"	154
"039137 Znojile pri Krki"	125
"040 IZOLA/ISOLA"	16479
"040001 Baredi"	175
"040002 Cetore"	161
"040003 Dobrava/Dobrava presso Isola"	287
"040004 Izola/Isola"	11489
"040005 Jagodje/Jagodje"	2232
"040006 Korte"	879
"040007 Malija"	555
"040008 Šared"	631
"040009 Nožed"	70
"041 JESENICE"	21944
"041001 Blejska Dobrava"	967
"041005 Hrušica"	1676
"041006 Javorniški Rovt"	303
"041007 Jesenice"	13778
"041008 Koèna"	263
"041009 Lipce"	260
"041011 Planina pod Golico"	293
"041012 Plavški Rovt"	82
"041013 Podkoèna"	51
"041014 Potoki"	114
"041015 Prihodi"	98
"041022 Koroška Bela"	2101
"041023 Slovenski Javornik"	1958
"042 JURŠINCI"	2458
"042001 Bodkovci"	118
"042002 Dragoviè"	186
"042003 Gabrnik"	267
"042004 Gradišèak"	48
"042005 Grlinci"	135
"042006 Hlaponci"	247
"042007 Juršinci"	443
"042008 Kukava"	199
"042009 Mostje"	29
"042010 Rotman"	191
"042011 Sakušak"	198
"042012 Senèak pri Juršincih"	108
"042013 Zagorci"	289
"043 KAMNIK"	30020
"043001 Bela"	83
"043002 Bela Peè"	18
"043003 Bistrièica"	302
"043005 Brezje nad Kamnikom"	141
"043006 Briše"	45
"043007 Buè"	202
"043008 Cirkuše v Tuhinju"	86
"043009 Èešnjice v Tuhinju"	105
"043010 Èrna pri Kamniku"	157
"043011 Èrni Vrh v Tuhinju"	30
"043012 Gabrovnica"	35
"043014 Godiè"	691
"043015 Golice"	136
"043017 Gozd"	157
"043018 Gradišèe v Tuhinju"	44
"043019 Hrib pri Kamniku"	61
"043020 Hruševka"	46
"043021 Jeranovo"	121
"043022 Kališe"	56
"043023 Kamnik"	13807
"043024 Kamniška Bistrica"	22
"043026 Klemenèevo"	14
"043029 Kostanj"	37
"043030 Košiše"	172
"043031 Kregarjevo"	140
"043032 Krivèevo"	115
"043034 Kršiè"	40
"043035 Laniše"	103
"043036 Laseno"	27
"043037 Laze v Tuhinju"	321
"043038 Liplje"	31
"043039 Loke v Tuhinju"	252
"043040 Mali Hrib"	74
"043041 Mali Rakitovec"	40
"043042 Markovo"	197
"043043 Mekinje"	1639
"043046 Motnik"	232
"043048 Nevlje"	266
"043049 Okrog pri Motniku"	68
"043050 Okroglo"	58
"043051 Oševek"	161
"043052 Pirševo"	38
"043054 Podbreg"	11
"043055 Podgorje"	1026
"043056 Podhruška"	53
"043057 Podjelše"	37
"043058 Podlom"	38
"043059 Podstudenec"	105
"043060 Poljana"	17
"043061 Poreber"	189
"043062 Potok"	59
"043064 Potok v Èrni"	36
"043065 Praproèe v Tuhinju"	25
"043066 Pšajnovica"	78
"043067 Ravne pri Šmartnem"	62
"043068 Rožièno"	133
"043069 Rudnik pri Radomljah"	98
"043070 Sela pri Kamniku"	147
"043071 Sidol"	68
"043072 Smreèje v Èrni"	20
"043073 Snovik"	66
"043074 Soteska"	325
"043075 Sovinja Peè"	33
"043076 Spodnje Palovèe"	102
"043077 Spodnje Stranje"	264
"043078 Srednja vas pri Kamniku"	250
"043079 Stahovica"	166
"043080 Stara sela"	59
"043081 Stebljevek"	52
"043082 Stolnik"	119
"043083 Studenca"	81
"043085 Šmarca"	1565
"043086 Šmartno v Tuhinju"	239
"043087 Špitaliè"	174
"043088 Trebelno pri Palovèah"	7
"043089 Trobelno"	13
"043090 Tuèna"	35
"043091 Tunjice"	309
"043092 Tunjiška Mlaka"	299
"043093 Vaseno"	18
"043094 Velika Lašna"	126
"043095 Velika Planina"	3
"043096 Veliki Hrib"	78
"043097 Veliki Rakitovec"	29
"043098 Vir pri Nevljah"	27
"043099 Vodice nad Kamnikom"	28
"043100 Volèji Potok"	436
"043101 Vranja Peè"	47
"043102 Vrhpolje pri Kamniku"	766
"043103 Zagorica nad Kamnikom"	155
"043104 Zajasovnik - del"	25
"043105 Zakal"	49
"043106 Zavrh pri Èrnivcu"	30
"043107 Zduša"	111
"043108 Zgornje Palovèe"	51
"043109 Zgornje Stranje"	423
"043110 Zgornji Motnik"	64
"043111 Zgornji Tuhinj"	380
"043112 Znojile"	36
"043113 Žaga"	62
"043115 Žubejevo"	19
"043116 Županje Njive"	327
"044 KANAL"	5106
"044001 Ajba"	65
"044002 Anhovo"	77
"044003 Avèe"	204
"044004 Bodrež"	89
"044005 Deskle"	1138
"044006 Doblar"	79
"044007 Gorenja vas"	152
"044008 Kal nad Kanalom"	319
"044009 Kambreško"	103
"044010 Kanal"	1045
"044011 Kanalski Vrh"	66
"044012 Levpa"	160
"044013 Lig"	133
"044014 Morsko"	187
"044015 Plave"	224
"044016 Roèinj"	281
"044017 Seniški Breg"	125
"044018 Ukanje"	29
"044019 Zapotok"	4
"044020 Goljevica"	33
"044021 Kamenca nad Ložicami"	0
"044022 Zagomila"	4
"044023 Zagora"	21
"044024 Paljevo"	14
"044025 Prilesje pri Plavah"	51
"044026 Ravna"	4
"044027 Jesen"	5
"044028 Krstenica"	24
"044029 Èolnica"	14
"044030 Ložice"	256
"044031 Moèila"	68
"044032 Robidni Breg"	44
"044033 Gorenje Nekovo"	11
"044034 Gorenje Polje"	77
"044035 Dolenje Nekovo"	0
"045 KIDRIÈEVO"	6594
"045001 Apaèe"	800
"045002 Cirkovce"	367
"045003 Dragonja vas"	184
"045004 Kidrièevo"	1107
"045005 Kungota pri Ptuju"	383
"045006 Lovrenc na Dravskem polju"	670
"045007 Mihovce"	227
"045008 Njiverce"	778
"045009 Pleterje"	225
"045010 Pongrce"	137
"045011 Spodnje Jablane"	275
"045012 Spodnji Gaj pri Pragerskem"	128
"045013 Starošince"	228
"045014 Stražgonjca"	217
"045015 Strnišèe"	114
"045016 Šikole"	311
"045017 Zgornje Jablane"	190
"045018 Župeèja vas"	253
"046 KOBARID"	4045
"046001 Avsa"	39
"046002 Borjana"	127
"046003 Breginj"	181
"046004 Drežnica"	242
"046005 Drežniške Ravne"	145
"046006 Homec"	8
"046007 Idrsko"	304
"046008 Jevšèek"	25
"046009 Jezerca"	37
"046010 Kobarid"	1071
"046011 Koseè"	60
"046012 Kred"	132
"046013 Krn"	24
"046014 Ladra"	140
"046015 Libušnje"	46
"046016 Livek"	163
"046017 Livške Ravne"	12
"046018 Logje"	45
"046019 Magozd"	59
"046020 Mlinsko"	63
"046021 Podbela"	60
"046022 Potoki"	47
"046023 Robiè"	25
"046024 Robidišèe"	13
"046025 Sedlo"	75
"046026 Smast"	194
"046027 Stanovišèe"	44
"046028 Staro selo"	172
"046029 Sužid"	124
"046030 Svino"	103
"046031 Trnovo ob Soèi"	125
"046032 Vrsno"	125
"046033 Perati"	15
"047 KOBILJE"	511
"047001 Kobilje"	511
"048 KOÈEVJE"	15661
"048003 Borovec pri Koèevski Reki"	45
"048004 Breg pri Koèevju"	379
"048005 Brezovica pri Predgradu"	41
"048008 Bukova Gora"	0
"048010 Cvišlerji"	184
"048011 Èeplje"	36
"048012 Èrni Potok pri Koèevju"	137
"048014 Dol"	22
"048017 Dolga vas"	840
"048018 Dolnja Briga"	10
"048019 Dolnje Ložine"	168
"048025 Gorenje"	369
"048027 Gornja Briga"	6
"048028 Gornje Ložine"	144
"048030 Gotenica"	2
"048033 Hreljin"	0
"048035 Hrib pri Koprivniku"	1
"048037 Jelenja vas"	14
"048039 Kaèji Potok"	2
"048041 Kleè"	4
"048042 Klinja vas"	210
"048043 Knežja Lipa"	24
"048044 Koblarji"	289
"048045 Koèarji"	12
"048046 Koèe"	11
"048047 Koèevje"	8147
"048048 Koèevska Reka"	266
"048049 Komolec"	0
"048050 Konca vas"	104
"048051 Koprivnik"	90
"048053 Kralji"	16
"048055 Kuhlarji"	0
"048059 Laze pri Oneku"	5
"048060 Laze pri Predgradu"	7
"048062 Livold"	433
"048063 Maèkovec"	61
"048064 Mahovnik"	297
"048065 Mala Gora"	4
"048067 Mlaka pri Koèevju"	292
"048068 Mlaka pri Koèevski Reki"	10
"048069 Mokri Potok"	5
"048070 Morava"	133
"048071 Mozelj"	179
"048072 Mrtvice"	42
"048073 Muha vas"	0
"048074 Nemška Loka"	19
"048076 Nove Ložine"	32
"048077 Novi Lazi"	126
"048078 Ograja"	0
"048079 Onek"	25
"048082 Paka pri Predgradu"	7
"048087 Podlesje"	3
"048088 Podstene"	0
"048091 Predgrad"	97
"048092 Preža"	0
"048093 Primoži"	9
"048095 Pugled pri Starem Logu"	0
"048096 Rajhenav"	3
"048097 Rajndol"	27
"048100 Rogati Hrib"	3
"048101 Sadni Hrib"	0
"048105 Slovenska vas"	252
"048106 Smuka"	81
"048107 Spodnja Bilpa"	6
"048108 Spodnji Log"	19
"048111 Stara Cerkev"	274
"048112 Stari Breg"	2
"048113 Stari Log"	68
"048114 Staro Brezje"	4
"048117 Suhi Potok"	0
"048119 Svetli Potok"	0
"048120 Šalka vas"	714
"048121 Škrilj"	0
"048123 Štalcerji"	151
"048125 Topla Reber"	0
"048126 Trnovec"	0
"048129 Vimolj pri Predgradu"	20
"048131 Vrt"	4
"048132 Zajèje Polje"	44
"048134 Zdihovo"	0
"048135 Željne"	478
"048136 Polom"	54
"048137 Seè"	9
"048138 Vrbovec"	6
"048139 Grièek pri Željnah"	82
"048140 Podjetniško naselje Koèevje"	1
"049 KOMEN"	3509
"049001 Brestovica pri Komnu"	182
"049002 Brje pri Komnu"	104
"049003 Coljava"	61
"049004 Èehovini"	60
"049005 Èipnje"	14
"049006 Divèi"	40
"049007 Dolanci"	19
"049008 Gabrovica pri Komnu"	116
"049009 Gorjansko"	262
"049010 Hruševica"	155
"049011 Ivanji Grad"	95
"049012 Klanec pri Komnu"	41
"049013 Kobdilj"	184
"049014 Kobjeglava"	188
"049015 Koboli"	16
"049016 Kodreti"	40
"049017 Komen"	626
"049018 Lisjaki"	27
"049019 Lukovec"	37
"049020 Mali Dol"	39
"049021 Nadrožica"	11
"049022 Preserje pri Komnu"	57
"049023 Rubije"	34
"049024 Sveto"	206
"049025 Šibelji"	10
"049026 Škofi"	11
"049027 Škrbina"	142
"049028 Štanjel"	361
"049029 Tomaèevica"	167
"049030 Trebižani"	14
"049031 Tupelèe"	57
"049032 Vale"	15
"049033 Veèkoti"	11
"049034 Volèji Grad"	80
"049035 Zagrajec"	27
"050 KOPER/CAPODISTRIA"	54252
"050001 Abitanti"	31
"050003 Babièi"	312
"050004 Barizoni/Barisoni"	118
"050005 Belvedur"	5
"050006 Bertoki/Bertocchi"	1023
"050007 Bezovica"	76
"050008 Boèaji"	32
"050009 Bonini"	645
"050010 Boršt"	261
"050011 Bošamarin/Bossamarino"	656
"050012 Brezovica pri Gradinu"	66
"050013 Brežec pri Podgorju"	1
"050014 Briè"	0
"050015 Butari"	48
"050016 Cepki"	85
"050017 Cerej/Cerei"	137
"050018 Èentur"	161
"050019 Èežarji"	624
"050020 Èrni Kal"	229
"050021 Èrnotièe"	77
"050022 Dekani"	1733
"050023 Dilici"	15
"050024 Dol pri Hrastovljah"	122
"050025 Dvori"	34
"050026 Fijeroga"	22
"050027 Gabrovica pri Èrnem Kalu"	124
"050028 Gažon"	632
"050029 Glem"	64
"050030 Graèišèe"	290
"050031 Gradin"	60
"050032 Grinjan"	143
"050033 Grintovec"	120
"050034 Hrastovlje"	152
"050035 Hrvatini/Crevatini"	1332
"050036 Elerji"	186
"050037 Kampel/Campel"	838
"050038 Karli"	5
"050039 Kastelec"	94
"050040 Kolomban/Colombano"	649
"050041 Koper/Capodistria"	26305
"050042 Koromaèi - Boškini"	20
"050043 Kortine"	123
"050044 Koštabona"	268
"050045 Kozlovièi"	66
"050046 Krkavèe"	316
"050047 Krnica"	75
"050048 Kubed"	199
"050049 Labor"	73
"050050 Loka"	111
"050051 Lopar"	157
"050052 Lukini"	60
"050053 Manžan"	502
"050054 Marezige"	572
"050055 Maršièi"	17
"050056 Moèunigi"	0
"050057 Montinjan"	81
"050058 Movraž"	145
"050059 Olika"	3
"050060 Osp"	204
"050061 Peraji"	0
"050062 Pisari"	13
"050063 Plavje"	586
"050064 Pobegi"	1288
"050065 Podgorje"	147
"050066 Podpeè"	58
"050067 Poletièi"	69
"050068 Pomjan"	186
"050069 Popetre"	156
"050070 Prade/Prade"	1322
"050071 Praproèe"	29
"050072 Predloka"	83
"050073 Pregara"	142
"050074 Premanèan/Premanzano"	149
"050075 Puèe"	291
"050076 Rakitovec"	104
"050077 Rižana"	147
"050078 Rožar"	24
"050079 Sirèi"	39
"050080 Smokvica"	31
"050081 Socerb"	50
"050082 Soèerga"	56
"050083 Sokolièi"	8
"050084 Spodnje Škofije"	1521
"050085 Srgaši"	209
"050086 Stepani"	17
"050087 Sv. Anton"	2236
"050088 Šalara/Salara"	591
"050089 Šeki"	11
"050090 Škocjan/San Canziano"	583
"050091 Šmarje"	915
"050092 Tinjan"	197
"050093 Topolovec"	53
"050094 Trebeše"	50
"050095 Triban"	186
"050096 Trsek"	49
"050097 Truške"	67
"050098 Tuljaki"	11
"050099 Vanganel"	765
"050100 Zabavlje"	37
"050101 Zanigrad"	0
"050102 Zazid"	88
"050103 Zgornje Škofije"	1105
"050104 Županèièi"	65
"050105 Galantièi"	19
"051 KOZJE"	2993
"051001 Bistrica"	48
"051002 Buèe"	154
"051003 Dobležièe"	105
"051004 Drensko Rebro"	139
"051005 Gorjane"	168
"051006 Gradišèe"	39
"051007 Gubno"	150
"051008 Ješovec pri Kozjem"	124
"051009 Klake"	43
"051010 Kozje"	607
"051011 Lesièno"	168
"051012 Ortnice"	21
"051013 Osredek pri Podsredi"	62
"051014 Pilštanj"	124
"051015 Podsreda"	171
"051016 Poklek pri Podsredi"	97
"051017 Topolovo"	39
"051018 Vetrnik"	121
"051019 Vojsko"	82
"051020 Vrenska Gorca"	179
"051021 Zagorje"	181
"051022 Zdole"	123
"051023 Zeèe pri Buèah"	48
"052 KRANJ"	57138
"052001 Babni Vrt"	51
"052002 Bobovek"	130
"052003 Breg ob Savi"	550
"052004 Britof"	2117
"052005 Èadovlje"	120
"052006 Èepulje"	41
"052007 Golnik"	1125
"052008 Gorièe"	364
"052009 Ilovka"	79
"052010 Jama"	259
"052011 Jamnik"	31
"052012 Javornik"	72
"052013 Kokrica"	1733
"052014 Kranj"	37802
"052015 Lavtarski Vrh"	22
"052016 Letenice"	125
"052017 Mavèièe"	443
"052018 Meja"	31
"052019 Mlaka pri Kranju"	1628
"052020 Nemilje"	99
"052021 Njivica"	32
"052022 Orehovlje"	173
"052023 Pangršica"	78
"052024 Planica"	33
